歌手名字,歌手ID
Sweety,12728
万能青年旅店,13223
海龟先生,11830
JS,11952
凤凰传奇,11564
CG,12118566
筷子兄弟,12081
男才女貌,12444
不可撤销,900084
黑豹乐队,11759
SNH48,794014
盘尼西林,900021
网易游戏,751129
歌手名字,歌手ID
Alan Walker,1045123
Charlie Puth,90331
Justin Bieber,35531
Ed Sheeran,33184
Olly Murs,41034
Eminem,32665
Martin Garrix,780003
Troye Sivan,45129
Bruno Mars,178059
Marshmello,1060019
Avicii,45236
Zedd,46376
XXXTENTACION,12107961
R3hab,197248
Drake,53283
TheFatRat,1019952
Austin Mahone,29121
Wiz Khalifa,46006
Daddy Yankee,31297
David Guetta,31211
Tobu,964486
Rich Homie Quan,797253
Russ,241588
Phum Viphurit,12526488
DJ Snake,296416
Justin Timberlake,35331
Young Thug,287014
Joel Adams,1188100
Luis Fonsi,38154
Pascal Letoublon,12634325
Twinbed,1033030
Calvin Harris,29968
Rich Brian,12024301
Rag'N'Bone Man,1053202
Timmy Trumpet,858362
J Balvin,309127
Flo Rida,56783
MKJ,469200
Achim Reichel,47097
Shawn Mendes,956238
Tunes of Fantasy,816413
Sam Tsui,43722
Post Malone,1057092
Digital Farm Animals,840929
Khalid,301757
Alex Goot,28690
Consoul Trainin,207285
gnash,1137226
Jason Mraz,35332
Jon Bellion,860113
Michael Jackson,38853
Willy William,1150186
DEAMN,12047335
Axero,1035020
Dr. Dre,53243
DJ Okawari,13950
Tiësto,688047
Deepmaniak,12620097
Lost Frequencies,1039114
Janji,1032229
KSHMR,896139
Snoop Dogg,42939
Deep Chills,1063083
Boyce Avenue,29709
Lil Yachty,12029208
The Weeknd,185858
Lauv,1057226
Mike Perry,195021
Jake Miller,776761
Kygo,844410
ILLENIUM,1050518
Bazzi,12262073
Pitbull,41143
Steerner,783190
CADE,12069101
will.i.am,45838
Asher Monroe,28727
Deorro,366358
lil sophy,12335367
Tez Cadey,488571
Steve Aoki,43608
Kendrick Lamar,37995
Savage,74873
Hardwell,34994
Alok,1170012
21 Savage,12062134
